# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cycles:P'
# Event count (approx.): 62066647788
#
# Overhead  Command  Shared Object                                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# ........  .......  .................................................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    19.38%  duckdb   duckdb                                                             [.] duckdb::JoinHashTable::GetRowPointers(duckdb::DataChunk&, duckdb::TupleDataChunkState&, duckdb::JoinHashTable::ProbeState&, duckdb::Vector&, duckdb::SelectionVector const*, unsigned long&, duckdb::Vector&, duckdb::SelectionVector&, bool)
    11.20%  duckdb   duckdb                                                             [.] duckdb::GroupedAggregateHashTable::FindOrCreateGroupsInternal(duckdb::DataChunk&, duckdb::Vector&, duckdb::Vector&, duckdb::SelectionVector&)
     7.47%  duckdb   duckdb                                                             [.] duckdb_fsst_decompress
     5.03%  duckdb   duckdb                                                             [.] unsigned long duckdb::TemplatedMatch<true, unsigned int, duckdb::Equals>(duckdb::Vector&, duckdb::TupleDataVectorFormat const&, duckdb::SelectionVector&, unsigned long, duckdb::TupleDataLayout const&, duckdb::Vector&, unsigned long, duckdb::vector<duckdb::MatchFunction, true> const&, duckdb::SelectionVector*, unsigned long&)
     4.59%  duckdb   duckdb                                                             [.] duckdb::TupleDataAllocator::BuildFastPath(duckdb::TupleDataSegment&, duckdb::TupleDataPinState&, duckdb::TupleDataChunkState&, unsigned long, unsigned long)
     2.72%  duckdb   duckdb                                                             [.] void duckdb::FSSTStorage::StringScanPartial<true>(duckdb::ColumnSegment&, duckdb::ColumnScanState&, unsigned long, duckdb::Vector&, unsigned long)
     1.95%  duckdb   duckdb                                                             [.] duckdb::JoinHashTable::ScanStructure::AdvancePointers(duckdb::SelectionVector const&, unsigned long)
     1.78%  duckdb   duckdb                                                             [.] duckdb::InitializeValidityMask(unsigned char* const*, unsigned long, unsigned long)
     1.73%  duckdb   duckdb                                                             [.] void duckdb::TupleDataTemplatedGather<unsigned int>(duckdb::TupleDataLayout const&, duckdb::Vector&, unsigned long, duckdb::SelectionVector const&, unsigned long, duckdb::Vector&, duckdb::SelectionVector const&, duckdb::optional_ptr<duckdb::Vector, true>, duckdb::vector<duckdb::TupleDataGatherFunction, true> const&)
     1.57%  duckdb   duckdb                                                             [.] duckdb::HyperLogLog::Update(duckdb::Vector&, duckdb::Vector&, unsigned long)
     1.51%  duckdb   libc.so.6                                                          [.] __memchr_evex
     1.48%  duckdb   duckdb                                                             [.] void duckdb::PartitionedTupleData::BuildPartitionSel<true>(duckdb::PartitionedTupleDataAppendState&, duckdb::SelectionVector const&, unsigned long, unsigned long)
     1.38%  duckdb   [kernel.kallsyms]                                                  [k] clear_page_erms
     1.38%  duckdb   duckdb                                                             [.] unsigned long duckdb::TemplatedMatch<true, unsigned int, duckdb::NotDistinctFrom>(duckdb::Vector&, duckdb::TupleDataVectorFormat const&, duckdb::SelectionVector&, unsigned long, duckdb::TupleDataLayout const&, duckdb::Vector&, unsigned long, duckdb::vector<duckdb::MatchFunction, true> const&, duckdb::SelectionVector*, unsigned long&)
     1.07%  duckdb   duckdb                                                             [.] duckdb::FindStrInStr(unsigned char const*, unsigned long, unsigned char const*, unsigned long)
     0.99%  duckdb   duckdb                                                             [.] duckdb::JoinHashTable::ScanStructure::NextInnerJoin(duckdb::DataChunk&, duckdb::DataChunk&, duckdb::DataChunk&)
     0.97%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::Build(duckdb::TupleDataPinState&, duckdb::TupleDataChunkState&, unsigned long, unsigned long)
     0.86%  duckdb   libc.so.6                                                          [.] __memset_avx512_unaligned_erms
     0.77%  duckdb   duckdb                                                             [.] duckdb::VectorOperations::Copy(duckdb::Vector const&, duckdb::Vector&, duckdb::SelectionVector const&, unsigned long, unsigned long, unsigned long, unsigned long)
     0.73%  duckdb   duckdb                                                             [.] duckdb::JoinHashTable::InsertHashes(duckdb::Vector&, unsigned long, duckdb::TupleDataChunkState&, duckdb::JoinHashTable::InsertState&, bool)
     0.72%  duckdb   duckdb                                                             [.] duckdb::TupleDataAllocator::ReleaseOrStoreHandlesInternal(duckdb::TupleDataSegment&, duckdb::vector<duckdb::BufferHandle, false>&, duckdb::buffer_handle_map_t&, duckdb::ContinuousIdSet const&, duckdb::vector<duckdb::TupleDataBlock, false>&, duckdb::TupleDataPinProperties)
